Player,Team,OPM,DPM
Torrey Craig,DEN
Paul Millsap,DEN
Will Barton,DEN
Trey Lyles,DEN
Josh Childress,DEN
Monte Morris,DEN
Gary Harris,DEN
Nikola Jokic,DEN
Tyler Lydon,DEN
Wilson Chandler,DEN
Mason Plumlee,DEN
Malik Beasley,DEN
Jamal Murray,DEN
Kenneth Faried,DEN
Juan Hernangomez,DEN
Andre Drummond,DET
Reggie Jackson,DET
Luke Kennard,DET
Stanley Johnson,DET
Henry Ellenson,DET
Langston Galloway,DET
Ish Smith,DET
Beno Udrih,DET
Dwight Buycks,DET
Avery Bradley,DET
Eric Moreland,DET
Reggie Bullock,DET
Jon Leuer,DET
Derek Willis,DET
Tobias Harris,DET
Landry Nnoko,DET
Anthony Tolliver,DET
Luis Montero,DET
Boban Marjanovic,DET
Patrick McCaw,GSW
JaVale McGee,GSW
Jordan Bell,GSW
David West,GSW
Kevon Looney,GSW
Nick Young,GSW
Andre Iguodala,GSW
Klay Thompson,GSW
Damian Jones,GSW
Omri Casspi,GSW
Michael Gbinije,GSW
Draymond Green,GSW
Chris Boucher,GSW
Zaza Pachulia,GSW
Stephen Curry,GSW
Georges Niang,GSW
Shaun Livingston,GSW
Kevin Durant,GSW
Cameron Oliver,HOU
Trevor Ariza,HOU
Demetrius Jackson,HOU
Chris Paul,HOU
PJ Tucker,HOU
Troy Williams,HOU
Bobby Brown,HOU
Chris Johnson,HOU
Zhou Zhou,HOU
Eric Gordon,HOU
Luc Mbah a Moute,HOU
James Harden,HOU
George de Paula,HOU
Clint Capela,HOU
Isaiah Taylor,HOU
Chinanu Onuaku,HOU
Tarik Black,HOU
Ryan Anderson,HOU
Nene,HOU
Tim Quarterman,HOU
Alex Poythress,IND
Lance Stephenson,IND
Darren Collison,IND
Joe Young,IND
Victor Oladipo,IND
Edmond Sumner,IND
Cory Joseph,IND
Trey McKinney Jones,IND
Domantas Sabonis,IND
Damien Wilkins,IND
Ike Anigbogu,IND
Jarrod Uthoff,IND
DeQuan Jones,IND
Thaddeus Young,IND
TJ Leaf,IND
Al Jefferson,IND
Ben Moore,IND
Myles Turner,IND
Glenn Robinson III,IND
Bojan Bogdanovic,IND
Sindarius Thornwell,LAC
Jawun Evans,LAC
Milos Teodosic,LAC
Montrezl Harrell,LAC
DeAndre Jordan,LAC
Sam Dekker,LAC
Danilo Gallinari,LAC
C.J. Williams,LAC
Brice Johnson,LAC
Tyrone Wallace,LAC
Jamil Wilson,LAC
LaDontae Henton,LAC
Patrick Beverley,LAC
Lou Williams,LAC
Austin Rivers,LAC
Blake Griffin,LAC
Wesley Johnson,LAC
Willie Reed,LAC
Marshall Plumlee,LAC
Kyle Kuzma,LAL
Kentavious Caldwell-Pope,LAL
Lonzo Ball,LAL
Corey Brewer,LAL
Alex Caruso,LAL
Josh Hart,LAL
Jordan Clarkson,LAL
Larry Nance Jr.,LAL
Luol Deng,LAL
Tyler Ennis,LAL
Brook Lopez,LAL
Briante Weber,LAL
Brandon Ingram,LAL
Vander Blue,LAL
Julius Randle,LAL
Thomas Bryant,LAL
Ivica Zubac,LAL
Andrew Bogut,LAL
JaMychal Green,MEM
Jarell Martin,MEM
Kobi Simmons,MEM
Durand Scott,MEM
Durand Scott,MEM
Wade Baldwin IV,MEM
Andrew Harrison,MEM
Mario Chalmers,MEM
Wayne Selden,MEM
James Ennis III,MEM
Ivan Rabb,MEM
Mike Conley,MEM
Tyreke Evans,MEM
Deyonta Davis,MEM
Ben McLemore,MEM
Dillon Brooks,MEM
Chandler Parsons,MEM
Vince Hunter,MEM
Marc Gasol,MEM
Brandan Wright,MEM
Rade Zagorac,MEM
DeAndre Liggins,MIA
Josh Richardson,MIA
Wayne Ellington,MIA
AJ Hammons,MIA
Larry Drew II,MIA
Goran Dragic,MIA
Tyler Johnson,MIA
Kelly Olynyk,MIA
Dion Waiters,MIA
Matt Williams Jr.,MIA
Bam Adebayo,MIA
Derrick Walton Jr.,MIA
Okaro White,MIA
James Johnson,MIA
Rodney McGruder,MIA
Justise Winslow,MIA
Hassan Whiteside,MIA
Erik McCree,MIA
Jordan Mickey,MIA
Udonis Haslem,MIA
Gary Payton II,MIL
Jason Terry,MIL
D.J. Wilson,MIL
James Young,MIL
Thon Maker,MIL
Matthew Dellavedova,MIL
Xavier Munford,MIL
Jabari Parker,MIL
Malcolm Brogdon,MIL
Greg Monroe,MIL
Rashad Vaughn,MIL
Tony Snell,MIL
Khris Middleton,MIL
Sterling Brown,MIL
Brandon Rush,MIL
Gerald Green,MIL
John Henson,MIL
Giannis Antetokounmpo,MIL
Mirza Teletovic,MIL
Joel Anthony,MIL
Jeff Teague,MIN
Tyus Jones,MIN
Anthony Brown,MIN
Gorgui Dieng,MIN
Melo Trimble,MIN
Nemanja Bjelica,MIN
Amile Jefferson,MIN
Jamal Crawford,MIN
Marcus Georges-Hunt,MIN
Shabazz Muhammad,MIN
Andrew Wiggins,MIN
Jimmy Butler,MIN
Justin Patton,MIN
Aaron Brooks,MIN
Karl-Anthony Towns,MIN
Cole Aldrich,MIN
Taj Gibson,MIN
DeMarcus Cousins,NOP
Perry Jones III,NOP
Ian Clark,NOP
Omer Asik,NOP
Charles Cooke,NOP
Rajon Rondo,NOP
Jrue Holiday,NOP
Jalen Jones,NOP
Cheick Diallo,NOP
Martell Webster,NOP
Frank Jackson,NOP
Darius Miller,NOP
Anthony Davis,NOP
Tony Allen,NOP
Jordan Crawford,NOP
Dante Cunningham,NOP
Cliff Alexander,NOP
Alexis Ajinca,NOP
Solomon Hill,NOP
E'Twaun Moore,NOP
Enes Kanter,NYK
Ramon Sessions,NYK
Luke Kornet,NYK
Tim Hardaway Jr.,NYK
Courtney Lee,NYK
Kristaps Porzingis,NYK
Michael Beasley,NYK
Kyle O'Quinn,NYK
Frank Ntilikina,NYK
Joakim Noah,NYK
Willy Hernangomez,NYK
Xavier Rathan-Mayes,NYK
Nigel Hayes,NYK
Doug McDermott,NYK
Damyean Dotson,NYK
Trey Burke,NYK
Ron Baker,NYK
Lance Thomas,NYK
Jarrett Jack,NYK
Mindaugas Kuzminskas,NYK
Yannis Morin,OKC
Chris Wright,OKC
Russell Westbrook,OKC
Raymond Felton,OKC
Isaiah Canaan,OKC
Nick Collison,OKC
Semaj Christon,OKC
Carmelo Anthony,OKC
Alex Abrines,OKC
Jerami Grant,OKC
Steven Adams,OKC
Paul George,OKC
Kyle Singler,OKC
Andre Roberson,OKC
Terrance Ferguson,OKC
Daniel Hamilton,OKC
Josh Huestis,OKC
Dakari Johnson,OKC
Patrick Patterson,OKC
Aaron Gordon,ORL
Jonathan Isaac,ORL
Elfrid Payton,ORL
Damjan Rudez,ORL
Arron Afflalo,ORL
Marreese Speights,ORL
Shelvin Mack,ORL
Mario Hezonja,ORL
Nikola Vucevic,ORL
Evan Fournier,ORL
Bismack Biyombo,ORL
D.J. Augustin,ORL
Rodney Purvis,ORL
Jonathon Simmons,ORL
Troy Caupain,ORL
Khem Birch,ORL
Wes Iwundu,ORL
Kalin Lucas,ORL
Terrence Ross,ORL
Adreian Payne,ORL
Jacob Pullen,PHI
Jerryd Bayless,PHI
Justin Anderson,PHI
Amir Johnson,PHI
Timothe Luwawu-Cabarrot,PHI
Jahlil Okafor,PHI
Dario Saric,PHI
Nik Stauskas,PHI
T.J. McConnell,PHI
James Michael McAdoo,PHI
JJ Redick,PHI
Markelle Fultz,PHI
Joel Embiid,PHI
Richaun Holmes,PHI
James Blackmon Jr.,PHI
Ben Simmons,PHI
Furkan Korkmaz,PHI
Robert Covington,PHI
Kris Humphries,PHI
Emeka Okafor,PHI
Marquese Chriss,PHX
Devin Booker,PHX
Eric Bledsoe,PHX
Jared Dudley,PHX
Tyson Chandler,PHX
Tyler Ulis,PHX
Derrick Jones Jr.,PHX
Brandon Knight,PHX
TJ Warren,PHX
Alan Williams,PHX
Josh Jackson,PHX
Alex Len,PHX
Elijah Millsap,PHX
Alec Peters,PHX
Troy Daniels,PHX
Davon Reed,PHX
Dragan Bender,PHX
Mike James,PHX
Damian Lillard,POR
Evan Turner,POR
Archie Goodwin,POR
CJ McCollum,POR
Maurice Harkless,POR
Pat Connaughton,POR
Shabazz Napier,POR
Al-Farouq Aminu,POR
Isaiah Briscoe,POR
Jake Layman,POR
Meyers Leonard,POR
Ed Davis,POR
Noah Vonleh,POR
CJ Wilcox,POR
Anthony Morrow,POR
Jusuf Nurkic,POR
Zach Collins,POR
Caleb Swanigan,POR
Reggie Hearn,SAC
Reggie Hearn,SAC
Willie Cauley-Stein,SAC
George Hill,SAC
De'Aaron Fox,SAC
Skal Labissiere,SAC
Bogdan Bogdanovic,SAC
Matt Jones,SAC
Frank Mason,SAC
Georgios Papagiannis,SAC
Vince Carter,SAC
Garrett Temple,SAC
Harry Giles,SAC
Malachi Richardson,SAC
Buddy Hield,SAC
Justin Jackson,SAC
JaKarr Sampson,SAC
David Stockton,SAC
Kosta Koufos,SAC
Jack Cooley,SAC
Zach Randolph,SAC
Kyle Anderson,SAS
Kawhi Leonard,SAS
Brandon Paul,SAS
Derrick White,SAS
Dejounte Murray,SAS
London Perrantes,SAS
Patty Mills,SAS
Tony Parker,SAS
Matt Costello,SAS
Bryn Forbes,SAS
LaMarcus Aldridge,SAS
Danny Green,SAS
Pau Gasol,SAS
Manu Ginobili,SAS
Rudy Gay,SAS
Darrun Hilliard,SAS
Amida Brimah,SAS
Davis Bertans,SAS
Joffrey Lauvergne,SAS
CJ Miles,TOR
Kennedy Meeks,TOR
OG Anunoby,TOR
Lorenzo Brown,TOR
Bruno Caboclo,TOR
Kyle Lowry,TOR
Serge Ibaka,TOR
DeMar DeRozan,TOR
Malcolm Miller,TOR
Andy Rautins,TOR
Jonas Valanciunas,TOR
Fred VanVleet,TOR
Norman Powell,TOR
KJ McDaniels,TOR
Kyle Wiltjer,TOR
Alfonzo McKinnie,TOR
Jakob Poeltl,TOR
Pascal Siakam,TOR
Delon Wright,TOR
Lucas Nogueira,TOR
Joe Ingles,UTA
Ricky Rubio,UTA
Rodney Hood,UTA
Joe Johnson,UTA
Jonas Jerebko,UTA
Alec Burks,UTA
Dante Exum,UTA
Tony Bradley,UTA
Derrick Favors,UTA
Nate Wolters,UTA
Eric Griffin,UTA
Joel Bolomboy,UTA
Thabo Sefolosha,UTA
Royce O'Neale,UTA
Taylor Braun,UTA
Torian Graham,UTA
Raul Neto,UTA
Rudy Gobert,UTA
Naz Mitrou-Long,UTA
Ekpe Udoh,UTA
Donovan Mitchell,UTA
Tim Frazier,WAS
Chris McCullough,WAS
John Wall,WAS
Bradley Beal,WAS
Mike Young,WAS
Markieff Morris,WAS
Devin Robinson,WAS
Sheldon McClellan,WAS
Kelly Oubre Jr.,WAS
Marcin Gortat,WAS
Jason Smith,WAS
Donald Sloan,WAS
Jodie Meeks,WAS
Carrick Felix,WAS
Otto Porter Jr.,WAS
Ian Mahinmi,WAS
Mike Scott,WAS
Tomas Satoransky,WAS
Daniel Ochefu,WAS
